Target,Package,License,Severity
"packages/react-lib/wp-react-lib/package-lock.json","@types/react","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","immutable","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","react","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","react-dom","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","react-intl","BSD-3-Clause","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","react-redux","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","semantic-ui-react","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","typescript","Apache-2.0","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@babel/runtime","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@fluentui/react-component-event-listener","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@formatjs/ecma402-abstract","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@formatjs/fast-memoize","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@formatjs/icu-messageformat-parser","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@formatjs/icu-skeleton-parser","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@formatjs/intl","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@formatjs/intl-localematcher","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@popperjs/core","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@semantic-ui-react/event-stack","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@types/hoist-non-react-statics","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@types/prop-types","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","@types/use-sync-external-store","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","clsx","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","csstype","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","decimal.js","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","exenv","BSD-3-Clause","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","hoist-non-react-statics","BSD-3-Clause","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","intl-messageformat","BSD-3-Clause","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","js-tokens","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","keyboard-key","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","lodash","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","lodash-es","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","loose-envify","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","object-assign","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","prop-types","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","react-fast-compare","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","react-is","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","react-popper","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","regenerator-runtime","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","scheduler","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","shallowequal","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","tslib","0BSD","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","use-sync-external-store","MIT","LOW"
"packages/react-lib/wp-react-lib/package-lock.json","warning","MIT","LOW"
"pnpm-lock.yaml","@artsy/fresnel","MIT","LOW"
"pnpm-lock.yaml","@nivo/bar","MIT","LOW"
"pnpm-lock.yaml","@nivo/bump","MIT","LOW"
